,xtf_id,Nummer,Bezeichnung,BetrieblicheBezeichnung,Laenge,Kantenhoehe,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_Stand,rHaltestelle,E,N,H,Name
164,ch14uvag00287512,ch:1:sloid:73471:0:3306,,02,,,20230201,,20260412,ch14uvag00058576,2688889.41392,1287336.24464,0,"Schaffhausen, Buchbergstrasse"
165,ch14uvag00266513,ch:1:sloid:5697:0:453927,,02,,,20260327,,20260412,ch14uvag00047733,2610171.0,1109802.0,0,"Grimentz, Torrent"
166,ch14uvag00386658,ch:1:sloid:94732::56,,56,,,19781001,,20260412,ch14uvag00061953,2676277.38723,1251902.72981,0,"Unterengstringen, Sennenbüel N"
167,ch14uvag00242223,ch:1:sloid:1563:1:1,1,01,,,20260327,,20260412,ch14uvag00051709,2566985.14691,1106843.87337,0,Les Marécottes
168,ch14uvag00379821,ch:1:sloid:70604:0:1002,B,02,,,20260327,,20260412,ch14uvag00064487,2563485.0,1131784.0,0,"Yvorne, Vers-Chenaux"
171,ch14uvag00379801,ch:1:sloid:70613:0:1002,H,08,,,20260327,,20260412,ch14uvag00055794,2567431.0,1128851.0,0,"Panex, La Croisée"
173,ch14uvag00379825,ch:1:sloid:70605:0:1001,A,01,,,20260327,,20260412,ch14uvag00043634,2563319.0,1132905.0,0,"Corbeyrier, Vers-la-Crête"
174,ch14uvag00273894,ch:1:sloid:70564:0:399325,,02,,,20260327,,20260412,ch14uvag00043199,2549324.0,1147972.0,0,"Chexbres-Village, gare"
175,ch14uvag00267512,ch:1:sloid:70565:0:477331,,01,,,20260327,,20260412,ch14uvag00043203,2548941.0,1148383.0,0,"Chexbres, Les Pergolas"
176,ch14uvag00258063,ch:1:sloid:70584:0:986041,,02,,,20260327,,20260412,ch14uvag00056917,2560023.49061,1136495.20371,0,"Rennaz, hôpital"
177,ch14uvag00379806,ch:1:sloid:70600:0:1004,D,04,,,20260327,,20260412,ch14uvag00038698,2563482.0,1129513.0,0,"Aigle, gare"
178,ch14uvag00225839,ch:1:sloid:76207::51,,51,,,20201213,,20260412,ch14uvag00050144,2686318.0,1242648.0,0,"Küsnacht ZH, Goldbacherstrasse"
179,ch14uvag00235952,ch:1:sloid:2760::50,,50,,,20201213,,20260412,ch14uvag00049079,2693317.0,1225769.0,0,"Hütten, Schöntal"
180,ch14uvag00231786,ch:1:sloid:90654::51,,51,,,20201213,,20260412,ch14uvag00048864,2689902.0,1234052.0,0,"Horgen, Meilibach"
181,ch14uvag00229319,ch:1:sloid:76187::51,,51,,,20201213,,20260412,ch14uvag00064670,2686458.0,1244177.0,0,"Zollikon, Allmend"
182,ch14uvag00228149,ch:1:sloid:76592:1:2,,10,,,20000528,,20260412,ch14uvag00063118,2622678.732,1185907.753,0,"Wachseldorn, Hof"
183,ch14uvag00245455,ch:1:sloid:2636:0:1,,01,,,20260327,,20260412,ch14uvag00221844,2560219.88756,1138009.99378,0,"Noville, Les Saviez"
184,ch14uvag00335361,ch:1:sloid:6242:0:01,A,01,,,20260327,,20260412,ch14uvag00225507,2666024.10391,1205298.79524,0,"Hergiswil NW, Sonnhaldenstrasse"
185,ch14uvag00250603,ch:1:sloid:4648:0:15474,,01,,,20260327,,20260412,ch14uvag00043673,2573105.62503,1190444.2456,0,"Cormérod, village"
186,ch14uvag00229854,ch:1:sloid:3798::58,F,58,,,20210720,,20260412,ch14uvag00063044,2693602.0,1231659.0,0,"Wädenswil, Bahnhof"
187,ch14uvag00231076,ch:1:sloid:7900:1:3,,15,,,20061210,,20260412,ch14uvag00063439,2605356.787,1179046.765,0,"Wattenwil, Stockern"
